ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Siraiki	one	hik	h i k	one2	h i k	29		BashirConnersSiraiki2019
2	Siraiki	two	ɗū	ɗ uː	two5	ɗ uː	59		BashirConnersSiraiki2019
3	Siraiki	three	træ	t r æ	three2	t r æ	49		BashirConnersSiraiki2019
4	Siraiki	four	cār	tʃ aː r	four6	tʃ aː r	20		BashirConnersSiraiki2019
5	Siraiki	five	pãj	p ã dʒ	five4	p ã dʒ	10		BashirConnersSiraiki2019
6	Siraiki	six	chi	tʃʰ i	six	tʃʰ i	35		BashirConnersSiraiki2019
7	Siraiki	seven	sat	s a t	seven	s a t	31		BashirConnersSiraiki2019
8	Siraiki	eight	aṭh	a ʈʰ	eight	a ʈʰ	1		BashirConnersSiraiki2019
9	Siraiki	nine	naũ	n a ũ	nine1	n a ũ	23		BashirConnersSiraiki2019
10	Siraiki	ten	ɖah	ɖ a h	ten2	ɖ a h	42		BashirConnersSiraiki2019
11	Siraiki	eleven	yārhā̃	j aː + r h ãː	one1 ten	j aː + r h ãː	28 40		BashirConnersSiraiki2019
12	Siraiki	twelve	ɓārhā̃	ɓ aː + r h ãː	two1 ten	ɓ aː + r h ãː	56 40		BashirConnersSiraiki2019
13	Siraiki	thirteen	terhā̃	t e + r h ãː	three5 ten	t e + r h ãː	52 40		BashirConnersSiraiki2019
14	Siraiki	fourteen	cauɗhā̃	tʃ a u + ɗ h ãː	four4 ten1	tʃ a u + ɗ h ãː	18 41		BashirConnersSiraiki2019
15	Siraiki	fifteen	pandrhā̃	p a n d + r h ãː	five3 ten	p a n d + r h ãː	9 40		BashirConnersSiraiki2019
16	Siraiki	sixteen	solhā̃	s o + l h ãː	six2 ten3	s o + l h ãː	37 43		BashirConnersSiraiki2019
17	Siraiki	seventeen	satārhā̃	s a t aː + r h ãː	seven1 ten	s a t aː + r h ãː	32 40		BashirConnersSiraiki2019
18	Siraiki	eighteen	aṭhārā̃	a ʈʰ aː + r ãː	eight1 ten4	a ʈʰ aː + r ãː	2 44		BashirConnersSiraiki2019
19	Siraiki	nineteen	unvī	u n + ʋ iː -/h	minus twenty	u n + ʋ iː	21 54	un < Sanskrit ekona- and therefore partially cognate with hik, etc.	BashirConnersSiraiki2019
20	Siraiki	twenty	vīh	ʋ iː h	twenty	ʋ iː h	54	/-h/ -> 0 in polysyllables?	BashirConnersSiraiki2019
21	Siraiki	twenty one	ikvī	i k + ʋ iː -/h	one twenty	i k + ʋ iː	27 54		BashirConnersSiraiki2019
22	Siraiki	twenty two	ɓāvī	ɓ aː + ʋ iː -/h	two1 twenty	ɓ aː + ʋ iː	56 54		BashirConnersSiraiki2019
23	Siraiki	twenty three	trevī	t r e + ʋ iː -/h	three1 twenty	t r e + ʋ iː	48 54		BashirConnersSiraiki2019
24	Siraiki	twenty four	cavī	tʃ a + ʋ iː -/h	four3 twenty	tʃ a + ʋ iː	17 54		BashirConnersSiraiki2019
25	Siraiki	twenty five	panjvī	p a n dʒʰ/dʒ + ʋ iː -/h	five twenty	p a n dʒ + ʋ iː	6 54		BashirConnersSiraiki2019
26	Siraiki	twenty six	chavī	tʃʰ a + ʋ iː -/h	six1 twenty	tʃʰ a + ʋ iː	36 54		BashirConnersSiraiki2019
27	Siraiki	twenty seven	satāvī	s a t aː + ʋ iː -/h	seven1 twenty	s a t aː + ʋ iː	32 54		BashirConnersSiraiki2019
28	Siraiki	twenty eight	aṭhāvī	a ʈʰ aː + ʋ iː -/h	eight1 twenty	a ʈʰ aː + ʋ iː	2 54		BashirConnersSiraiki2019
29	Siraiki	twenty nine	unattrī	u n + a tː r iː	minus thirty1	u n + a tː r iː	21 46		BashirConnersSiraiki2019
30	Siraiki	thirty	trīh	t r iː h	thirty	t r iː h	45	/-h/ -> 0 in polysyllables?	BashirConnersSiraiki2019
31	Siraiki	thirty one	ikatrī	i k a + t r iː -/h	one3 thirty	i k a + t r iː	30 45		BashirConnersSiraiki2019
32	Siraiki	thirty two	ɓatrī	ɓ a + t r iː -/h	two2 thirty	ɓ a + t r iː	57 45	Difficult to establish that long ɓ aː and short ɓ a are phonological alternants due to stress or the following segment … ɓ aː + ʋ iː and ɓ a + t r iː both have initial stress (I think), and short a is found in ɓ a + ʋ a n dʒʰ aː	BashirConnersSiraiki2019
33	Siraiki	thirty three	tẽtrī	t ẽ + t r iː -/h	three6 thirty	t ẽ + t r iː	53 45		BashirConnersSiraiki2019
34	Siraiki	thirty four	caɔ̃trī	tʃ a ɔ̃ + t r iː -/h	four5 thirty	tʃ a ɔ̃ + t r iː	19 45		BashirConnersSiraiki2019
35	Siraiki	thirty five	pæntrī	p æ n + t r iː -/h	five5 thirty	p æ n + t r iː	11 45		BashirConnersSiraiki2019
36	Siraiki	thirty six	chatrī	tʃʰ a + t r iː -/h	six1 thirty	tʃʰ a + t r iː	36 45		BashirConnersSiraiki2019
37	Siraiki	thirty seven	satattrī	s a -/t + a tː r iː	seven thirty1	s a t + a tː r iː	31 46	Seems to be unpredictable allomorphy, cf. 47	BashirConnersSiraiki2019
38	Siraiki	thirty eight	aṭhattrī	a ʈʰ + a tː r iː	eight thirty1	a ʈʰ + a tː r iː	1 46		BashirConnersSiraiki2019
39	Siraiki	thirty nine	untālī	u n + t aː l iː	minus forty	u n + t aː l iː	21 12		BashirConnersSiraiki2019
40	Siraiki	forty	calī	tʃ a l iː	forty2	tʃ a l iː	13		BashirConnersSiraiki2019
41	Siraiki	forty one	iktālī	i k + t aː l iː	one forty	i k + t aː l iː	27 12		BashirConnersSiraiki2019
42	Siraiki	forty two	ɓitālī	ɓ i + t aː l iː	two forty	ɓ i + t aː l iː	55 12	Difficult to argue for phonologically regular a ~ i alternation in ɓ i, given ɓ i + t aː l iː and ɓ a + t r iː	BashirConnersSiraiki2019
43	Siraiki	forty three	tirtālī	t i r + t aː l iː	three forty	t i r + t aː l iː	47 12		BashirConnersSiraiki2019
44	Siraiki	forty four	cutālī	tʃ u + t aː l iː	four1 forty	tʃ u + t aː l iː	15 12		BashirConnersSiraiki2019
45	Siraiki	forty five	pæ̃tālī	p æ̃ + t aː l iː	five1 forty	p æ̃ + t aː l iː	7 12		BashirConnersSiraiki2019
46	Siraiki	forty six	chitālī	tʃʰ i + t aː l iː	six forty	tʃʰ i + t aː l iː	35 12		BashirConnersSiraiki2019
47	Siraiki	forty seven	satālī	s a -/t + t aː l iː	seven forty	s a + t aː l iː	31 12	Assimilation of t + t?	BashirConnersSiraiki2019
48	Siraiki	forty eight	aṭhtālī	a ʈʰ + t aː l iː	eight forty	a ʈʰ + t aː l iː	1 12		BashirConnersSiraiki2019
49	Siraiki	forty nine	unvanjhā	u n + ʋ a n dʒʰ aː	minus fifty	u n + ʋ a n dʒʰ aː	21 4		BashirConnersSiraiki2019
50	Siraiki	fifty	panjhā	p a n dʒʰ aː	fifty1	p a n dʒʰ aː	5		BashirConnersSiraiki2019
51	Siraiki	fifty one	ikvanjhā	i k + ʋ a n dʒʰ aː	one fifty	i k + ʋ a n dʒʰ aː	27 4	No evidence elsewhere that p -> v word-medially	BashirConnersSiraiki2019
52	Siraiki	fifty two	ɓavanjhā	ɓ a + ʋ a n dʒʰ aː	two2 fifty	ɓ a + ʋ a n dʒʰ aː	57 4		BashirConnersSiraiki2019
53	Siraiki	fifty three	tirvanjhā	t i r + ʋ a n dʒʰ aː	three fifty	t i r + ʋ a n dʒʰ aː	47 4		BashirConnersSiraiki2019
54	Siraiki	fifty four	curvanjhā	tʃ u r + ʋ a n dʒʰ aː	four fifty	tʃ u r + ʋ a n dʒʰ aː	14 4		BashirConnersSiraiki2019
55	Siraiki	fifty five	pacvanjhā	p a tʃ + ʋ a n dʒʰ aː	five2 fifty	p a tʃ + ʋ a n dʒʰ aː	8 4		BashirConnersSiraiki2019
56	Siraiki	fifty six	chivanjhā	tʃʰ i + ʋ a n dʒʰ aː	six fifty	tʃʰ i + ʋ a n dʒʰ aː	35 4		BashirConnersSiraiki2019
57	Siraiki	fifty seven	satvanjhā	s a t + ʋ a n dʒʰ aː	seven fifty	s a t + ʋ a n dʒʰ aː	31 4		BashirConnersSiraiki2019
58	Siraiki	fifty eight	aṭhvanjhā	a ʈʰ + ʋ a n dʒʰ aː	eight fifty	a ʈʰ + ʋ a n dʒʰ aː	1 4		BashirConnersSiraiki2019
59	Siraiki	fifty nine	unæṭh	u n + æ ʈʰ	minus sixty	u n + æ ʈʰ	21 38		BashirConnersSiraiki2019
60	Siraiki	sixty	saṭh	s a ʈʰ	sixty2	s a ʈʰ	39		BashirConnersSiraiki2019
61	Siraiki	sixty one	ikæṭh	i k + æ ʈʰ	one sixty	i k + æ ʈʰ	27 38		BashirConnersSiraiki2019
62	Siraiki	sixty two	ɓæṭh	ɓ + æ ʈʰ	two4 sixty	ɓ + æ ʈʰ	58 38		BashirConnersSiraiki2019
63	Siraiki	sixty three	treṭh	t r e + -/æ ʈʰ	three1 sixty	t r e + ʈʰ	48 38		BashirConnersSiraiki2019
64	Siraiki	sixty four	cũṭh	tʃ ũ + -/æ ʈʰ	four2 sixty	tʃ ũ + ʈʰ	16 38	Assuming phonologically regular vowel contraction following a vowel	BashirConnersSiraiki2019
65	Siraiki	sixty five	panjæṭh	p a n dʒ + æ ʈʰ	five sixty	p a n dʒ + æ ʈʰ	6 38		BashirConnersSiraiki2019
66	Siraiki	sixty six	chiæṭh	tʃʰ i + æ ʈʰ	six sixty	tʃʰ i + æ ʈʰ	35 38		BashirConnersSiraiki2019
67	Siraiki	sixty seven	satæṭh	s a t + æ ʈʰ	seven sixty	s a t + æ ʈʰ	31 38		BashirConnersSiraiki2019
68	Siraiki	sixty eight	aṭhæṭh	a ʈʰ + æ ʈʰ	eight sixty	a ʈʰ + æ ʈʰ	1 38		BashirConnersSiraiki2019
69	Siraiki	sixty nine	unhattar	u n + h a tː a r	minus seventy	u n + h a tː a r	21 33		BashirConnersSiraiki2019
70	Siraiki	seventy	sattar	s a tː a r	seventy2	s a tː a r	34		BashirConnersSiraiki2019
71	Siraiki	seventy one	ikhattar	i k + h a tː a r	one seventy	i k + h a tː a r	27 33	Orthography (p. 170) suggests k+h rather than aspirated kh	BashirConnersSiraiki2019
72	Siraiki	seventy two	ɓahattar	ɓ a + h a tː a r	two2 seventy	ɓ a + h a tː a r	57 33		BashirConnersSiraiki2019
73	Siraiki	seventy three	tihattar	t i + h a tː a r	three4 seventy	t i + h a tː a r	51 33		BashirConnersSiraiki2019
74	Siraiki	seventy four	cuhattar	tʃ u + h a tː a r	four1 seventy	tʃ u + h a tː a r	15 33		BashirConnersSiraiki2019
75	Siraiki	seventy five	panjhattar	p a n dʒʰ/dʒ + -/h a tː a r	five seventy	p a n dʒʰ + a tː a r	6 33	Orthography (p. 171) suggests breathy-voice jh, rather than j+h. However, given the behavior of ik-hattar, etc. it doesn’t seem justifiable to treat these as phonologically unpredictable allomorphs	BashirConnersSiraiki2019
76	Siraiki	seventy six	chihattar	tʃʰ i + h a tː a r	six seventy	tʃʰ i + h a tː a r	35 33		BashirConnersSiraiki2019
77	Siraiki	seventy seven	satattar	s a t + -/h a tː a r	seven seventy	s a t + a tː a r	31 33	Same concern as for p a n dʒʰ + a tː a r	BashirConnersSiraiki2019
78	Siraiki	seventy eight	aṭhattar	a ʈʰ + -/h a tː a r	eight seventy	a ʈʰ + a tː a r	1 33	Same concern as for p a n dʒʰ + a tː a r	BashirConnersSiraiki2019
79	Siraiki	seventy nine	unāsī	u n + aː s iː	minus eighty	u n + aː s iː	21 3		BashirConnersSiraiki2019
80	Siraiki	eighty	asī	a/aː s iː	eighty	a s iː	3	Not exactly clear what conditions length variation, but plausible phonological (prosodic?)	BashirConnersSiraiki2019
81	Siraiki	eighty one	ikāsī	i k + aː s iː	one eighty	i k + aː s iː	27 3		BashirConnersSiraiki2019
82	Siraiki	eighty two	ɓiāsī	ɓ i + aː s iː	two eighty	ɓ i + aː s iː	55 3		BashirConnersSiraiki2019
83	Siraiki	eighty three	tirāsī	t i r + aː s iː	three eighty	t i r + aː s iː	47 3		BashirConnersSiraiki2019
84	Siraiki	eighty four	curāsī	tʃ u r + aː s iː	four eighty	tʃ u r + aː s iː	14 3		BashirConnersSiraiki2019
85	Siraiki	eighty five	panjāsī	p a n dʒ + aː s iː	five eighty	p a n dʒ + aː s iː	6 3		BashirConnersSiraiki2019
86	Siraiki	eighty six	chiāsī	tʃʰ i + aː s iː	six eighty	tʃʰ i + aː s iː	35 3		BashirConnersSiraiki2019
87	Siraiki	eighty seven	satāsī	s a t + aː s iː	seven eighty	s a t + aː s iː	31 3		BashirConnersSiraiki2019
88	Siraiki	eighty eight	aṭhāsī	a ʈʰ + aː s iː	eight eighty	a ʈʰ + aː s iː	1 3		BashirConnersSiraiki2019
89	Siraiki	eighty nine	unānve	u n + aː n ʋ e	minus ninety	u n + aː n ʋ e	21 24		BashirConnersSiraiki2019
90	Siraiki	ninety	navve	n a ʋː e	ninety1	n a ʋː e	25		BashirConnersSiraiki2019
91	Siraiki	ninety one	ikānve	i k + aː n ʋ e	one ninety	i k + aː n ʋ e	27 24		BashirConnersSiraiki2019
92	Siraiki	ninety two	ɓiānve	ɓ i + aː n ʋ e	two ninety	ɓ i + aː n ʋ e	55 24		BashirConnersSiraiki2019
93	Siraiki	ninety three	triānve	t r i + aː n ʋ e	three3 ninety	t r i + aː n ʋ e	50 24		BashirConnersSiraiki2019
94	Siraiki	ninety four	curānve	tʃ u r + aː n ʋ e	four ninety	tʃ u r + aː n ʋ e	14 24		BashirConnersSiraiki2019
95	Siraiki	ninety five	panjānve	p a n dʒ + aː n ʋ e	five ninety	p a n dʒ + aː n ʋ e	6 24		BashirConnersSiraiki2019
96	Siraiki	ninety six	chiānve	tʃʰ i + aː n ʋ e	six ninety	tʃʰ i + aː n ʋ e	35 24		BashirConnersSiraiki2019
97	Siraiki	ninety seven	satānve	s a t + aː n ʋ e	seven ninety	s a t + aː n ʋ e	31 24		BashirConnersSiraiki2019
98	Siraiki	ninety eight	aṭhānve	a ʈʰ + aː n ʋ e	eight ninety	a ʈʰ + aː n ʋ e	1 24		BashirConnersSiraiki2019
99	Siraiki	ninety nine	niranve	n i r + a/aː n ʋ e	nine ninety	n i r + a n ʋ e	22 24		BashirConnersSiraiki2019
