ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Balochi	one	yəkk	j ə kː	one	j ə kː	14		BarkerMengal1969
2	Balochi	two	dw	d ʊ	two	d ʊ	27		BarkerMengal1969
3	Balochi	three	səy	s ə j	three	s ə j	24		BarkerMengal1969
4	Balochi	four	čar	tʃ a r	four	tʃ a r	9		BarkerMengal1969
5	Balochi	five	pənč	p ə n tʃ	five	p ə n tʃ	6		BarkerMengal1969
6	Balochi	six	šəšš	ʃ ə ʃː	six	ʃ ə ʃː	19		BarkerMengal1969
7	Balochi	seven	[h]əpt	ə p t	seven	ə p t	16		BarkerMengal1969
8	Balochi	eight	[h]əšt	ə ʃ t	eight	ə ʃ t	2		BarkerMengal1969
9	Balochi	nine	nw	n ʊ	nine	n ʊ	11		BarkerMengal1969
10	Balochi	ten	də	d ə	ten	d ə	22		BarkerMengal1969
11	Balochi	eleven	yãzdə[g]	j ã z + d ə	one2 ten	j ã z + d ə	15 22		BarkerMengal1969
12	Balochi	twelve	dwãzdə[g]	d w ã z + d ə	two2 ten	d w ã z + d ə	28 22		BarkerMengal1969
13	Balochi	thirteen	sẽzdə[g]	s ẽ z + d ə	three2 ten	s ẽ z + d ə	25 22		BarkerMengal1969
14	Balochi	fourteen	čãrdə[g]	tʃ ã/a r + d ə	four ten	tʃ ã r + d ə	9 22		BarkerMengal1969
15	Balochi	fifteen	pãzdə[g]	p ã z + d ə	five2 ten	p ã z + d ə	7 22		BarkerMengal1969
16	Balochi	sixteen	šãzdə[g]	ʃ ã z + d ə	six2 ten	ʃ ã z + d ə	20 22		BarkerMengal1969
17	Balochi	seventeen	[h]əbdə[g]	ə b + d ə	seven2 ten	ə b + d ə	17 22		BarkerMengal1969
18	Balochi	eighteen	[h]əždə[g]	ə ʒ + d ə	eight2 ten	ə ʒ + d ə	3 22		BarkerMengal1969
19	Balochi	nineteen	nõzdə[g]	n õ z + d ə	nine2 ten	n õ z + d ə	12 22		BarkerMengal1969
20	Balochi	twenty	bist	b i s t	twenty	b i s t	26		BarkerMengal1969
