ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	geez1241	one	አሐዱ	ʔæħædu	ʔ æ ħ æ d + u	one suff_nom_sg1	ʔ æ ħ æ d + u	1 11		Lambdin1978Geez
2	geez1241	one	አሐቲ	ʔæħætti	ʔ æ ħ æ t/d + t + i	one suff_gender suff_nom_sg2	ʔ æ ħ æ t/d + t + i	1 12 13	In Semitic, there is polarity of gender after the numerals one and two. Because of that, I won't gloss the morphemes as fem. and masc. The suffix /-t/ marks the feminine on nouns and masculine in numbers. suff_nom_sg1 is used for masc. in 1 and 2, suff_nom_sg2 for fem. in 1 and 2.	Lambdin1978Geez
3	geez1241	two	ክልኤቱ	kɨlʔetu	k ɨ l ʔ e t/- + u	two suff_nom_sg1	k ɨ l ʔ e t/- + u	2 11		Lambdin1978Geez
4	geez1241	two	ክልኤቲ	kɨlʔeti	k ɨ l ʔ e t/- + i	two suff_nom_sg2	k ɨ l ʔ e t/- + i	2 13		Lambdin1978Geez
5	geez1241	two	ክልኤ	kɨlʔe	k ɨ l ʔ e	two	k ɨ l ʔ e	2	byform without case marking	Lambdin1978Geez
6	geez1241	three	ሠለስቱ	ʃælæstu	ʃ æ l æ/a s + t + u	three suff_gender suff_nom_sg1	ʃ æ l æ/a s + t + u	3 12 11		Lambdin1978Geez
7	geez1241	three	ሠላስ	ʃælas	ʃ æ l a s	three suff_gender suff_nom_sg1	ʃ æ l a s	3		Lambdin1978Geez
8	geez1241	four	አርባዕቱ	ʔærbaʕtu	ʔ æ r b a ʕ + t + u	four suff_gender suff_nom_sg1	ʔ æ r b a ʕ + t + u	4 12 11		Lambdin1978Geez
9	geez1241	four	አርባዕ	ʔærbaʕ	ʔ æ r b a ʕ	four	ʔ æ r b a ʕ	4		Lambdin1978Geez
10	geez1241	five	ኀምስቱ	xæmɨstu	x æ m ɨ/- s + t + u	five suff_gender suff_nom_sg1	x æ m ɨ/- s + t + u	5 12 11		Lambdin1978Geez
11	geez1241	five	ኀምስ	xæms	x æ m s	five	x æ m s	5		Lambdin1978Geez
12	geez1241	six	ስድስቱ	sɨdɨstu	s ɨ d ɨ/- s -/u + t + u	six suff_gender suff_nom_sg1	s ɨ d ɨ/- s -/u + t + u	6 12 11		Lambdin1978Geez
13	geez1241	six	ስሱ	sɨssu	s ɨ s/d s u	six	s ɨ s/d s u	6	/u/ part of the numeral, not case marker	Lambdin1978Geez
14	geez1241	seven	ሰብዐቱ	sæbʕætu	s æ b ʕ æ/u + t + u	seven suff_gender suff_nom_sg1	s æ b ʕ æ/u + t + u	7 12 11		Lambdin1978Geez
15	geez1241	seven	ሰባዕቱ	sæbaʕtu	s æ b a/- ʕ -/u + t + u	seven suff_gender suff_nom_sg1	s æ b a/- ʕ -/u + t + u	7 12 11		Lambdin1978Geez
16	geez1241	seven	ሰብዑ	sæbʕu	s æ b ʕ u	seven	s æ b ʕ u	7	/u/ part of the numeral, not case marker	Lambdin1978Geez
17	geez1241	eight	ሰማንቱ	sæmantu	s æ m a n -/i + t + u	eight suff_gender suff_nom_sg1	s æ m a n -/i + t + u	8 12 11		Lambdin1978Geez
18	geez1241	eight	ሰማኒቱ	sæmanitu	s æ m a n i + t + u	eight suff_gender suff_nom_sg1	s æ m a n i + t + u	8 12 11		Lambdin1978Geez
19	geez1241	eight	ሰማኒ	sæmani	s æ m a n i	eight	s æ m a n i	8	/i/ part of the numeral, not case marker	Lambdin1978Geez
20	geez1241	nine	ትስዐቱ	tɨsʕætu	t ɨ s ʕ æ/u + t + u	nine suff_gender suff_nom_sg1	t ɨ s ʕ æ/u + t + u	9 12 11		Lambdin1978Geez
21	geez1241	nine	ተስዐቱ	tæsʕætu	t æ/ɨ s ʕ æ/u + t + u	nine suff_gender suff_nom_sg1	t æ/ɨ s ʕ æ/u + t + u	9 12 11		Lambdin1978Geez
